N;Номенклатура;Количество;Цена;
380;RECKE TV LED 55Z1;2,000;230,00;
381;RECKE TV LED 75Z1;3,000;471,11;
382;RECKE TV LED 75Z1 QLED;2,000;480,00;
383;RECKE TV LED 85Z1;1,000;720,00;
384;RECKE TV LED 86Z1;1,000;750,00;
385;RECKE TV LED 86Z1 QLED;1,000;770,00;
386;RECKE WASHING MACHINE FBD60-1014DPZBG;2,000;175,00;
387;RECKE WASHING MACHINE FBD60-1014DPZBW;2,000;160,00;
388;RECKE WASHING MACHINE FBD60-1016DPAZB;2,000;160,00;
389;RECKE WASHING MACHINE FBD60-1016DPZB;3,000;166,67;
390;RECKE WASHING MACHINE FBD80-1214DPZBG;3,000;190,00;
391;RECKE WASHING MACHINE FBD80-1214DPZBW;3,000;185,00;
392;RECKE WATER HEATER D100-15L3 CAPACITY 100L;1,000;93,34;
393;RECKE WATER HEATER D30-15L1 CAPACITY 30L;1,000;55,00;
394;RECKE WATER HEATER D50-15L2 CAPACITY 50L;3,000;65,00;
395;RECKE WATER HEATER D80-15L3 CAPACITY 80L;2,000;79,22;
396;REDMI 15 6+128 GB MIDNIGHT BLACK PROCHIY;2,000;122,00;
397;REDMI 15C 8+256 GB BLACK PROCHIY;1,000;112,66;
398;REDMI A5 3+64 GB BLACK PROCHIY;1,000;64,00;
399;REDMI A5 4+128 GB BLACK PROCHIY;1,000;75,00;
400;REDMI A5 4+128 GB BLUE PROCHIY;1,000;75,00;
401;Redmi Note 14 pro 12/512 Blue (1 year);1,000;344,00;
402;Redmi Note 15 6/128 Black (1year);5,000;151,00;
403;Redmi Note 15 6/128 black Prochyy 1 yyl;3,000;159,00;
404;Redmi Note 15 6/128 blue Prochyy 1 yyl;1,000;159,00;
405;Redmi Note 15 6/128 purple Prochyy 1 yyl;1,000;159,00;
406;REDMI NOTE 15 6+128 GB BLACK PROCHIY;2,000;158,32;
407;Redmi Note 15 8/128 black Prochyy 1 yyl ;3,000;168,00;
408;Redmi Note 15 8/128 Purple (1year);1,000;162,00;
409;Redmi Note 15 8/256 Black (1 year);2,000;170,00;
410;Redmi Note 15 8/256 Blue (1 year);1,000;170,00;
411;Redmi Note 15 8/256 Purple Prochyy  1 yyl;1,000;178,00;
412;REDMI NOTE 15 8+128 GB BLACK PROCHIY;4,000;170,77;
413;Redmi Note 15 pro 12/512 Blue (1 year);3,000;272,00;
414;Redmi Note 15 pro 8/256 Blue (1 year);1,000;220,00;
415;Redmi Note pro 15 8/256 Black Prochyy 1 yyl;2,000;222,00;
416;RF01DRB33A32N0SA/WT;1,000;410,00;
417;RF01DRB37A5200EL/WT;1,000;485,00;
418;RF01DRB37A5200SA/WT;1,000;490,00;
419;RF01DRS70F65Q1TWT;1,000;830,00;
420;RF01DRS80F65M1WWT;1,000;1 050,00;
421;ROWENTA AIR HUMIDIFIER HU4020F0;1,000;122,00;
422;ROWENTA AIR PURIFIER PU6080F0;1,000;140,00;
423;ROWENTA CF-6220 FO FEN;1,000;55,00;
424;ROWENTA CV-9920FO FEN;1,000;75,00;
425;Rowenta CV8830F0 FEN;1,000;30,00;
426;Saachi Frozer Yogurt Maker NLFY2351;1,000;30,00;
427;Samsung A17 4/128 Black (1 year);2,000;140,00;
428;Samsung A17 4/128 Blue (1 year);1,000;140,00;
429;Samsung A17 4/128 Gray (1 year);2,000;140,00;
430;SAMSUNG AIR CONDITIONER AR09TXHQASINUA КОМПЛЕКТ;2,000;230,00;
431;SAMSUNG AIR CONDITIONER AR12BQHQASINER;1,000;270,00;
432;SAMSUNG AIR CONDITIONER AR12BSFCMWKXER КОМПЛЕКТ;1,000;360,00;
433;SAMSUNG AIR CONDITIONER AR60F09C1DWNER;2,000;100,00;
434;SAMSUNG AIR CONDITIONER AR60F09C1DWXER;2,000;220,00;
435;SAMSUNG AIR CONDITIONER AR60F12C1DWNER;1,000;100,00;
436;SAMSUNG AIR CONDITIONER AR60F12C1DWXER;1,000;260,00;
437;SAMSUNG AIR DRESSER DF24CB9900CRLP;1,000;1 500,00;
438;SAMSUNG CASE VG-SCLA00G/RU;1,000;38,00;
439;SAMSUNG CASE VG-SCLB00YR/RU;1,000;20,00;
440;SAMSUNG COOKER HOOD NK24C5070US/UR;1,000;225,00;
441;SAMSUNG COOKER HOOD NK24M5060SS/UR;2,000;215,00;
442;SAMSUNG COOKER HOOD NK24M5070BS/UR;1,000;217,50;
443;SAMSUNG COOKER HOOD NK24M7070VB/UR;2,000;305,00;
444;SAMSUNG DISHWASHER BUILT IN DW60M5050BB/WT;2,000;350,00;
445;SAMSUNG DISHWASHER DW50R4040BB/WT;2,000;256,67;
446;SAMSUNG DISHWASHER DW50R4050FW/WT;3,000;280,00;
447;SAMSUNG DISHWASHER DW60R7070BB/WT;1,000;480,00;
448;SAMSUNG ELECTRIC COOKTOP NZ63F3NM1AB/WT;1,000;290,00;
449;SAMSUNG ELECTRIC COOKTOP NZ64T3506AK/WT;6,000;170,00;
450;SAMSUNG ELECTRIC COOKTOP NZ64T3516CK/WT;2,000;220,00;
451;SAMSUNG ELECTRIC COOKTOP NZ64T3516QK/WT;2,000;230,00;
452;SAMSUNG ELECTRIC COOKTOP NZ64T3536DK/WT;1,000;240,00;
453;SAMSUNG ELECTRIC OVEN NQ50T9539BD/WT;2,000;625,00;
454;SAMSUNG ELECTRIC OVEN NV68A1110BB/WT;1,000;250,00;
455;SAMSUNG ELECTRIC OVEN NV68A1110BS/WT;1,000;240,00;
456;SAMSUNG ELECTRIC OVEN NV68A1145RK/WT;1,000;260,00;
457;SAMSUNG ELECTRIC OVEN NV68R2340RS/SL;1,000;300,00;
458;SAMSUNG ELECTRIC OVEN NV75R5641RS/WT;2,000;550,00;
459;SAMSUNG ELECTRIC OVEN NV75R7646RB;1,000;600,00;
460;SAMSUNG ELECTRIC OVEN NV75T9979CD/WT;1,000;650,00;
461;SAMSUNG ELECTRIC OVEN NV7B41201AK/WT;2,000;350,00;
462;SAMSUNG ELECTRIC OVEN NV7B4120ZAW/WT;2,000;330,00;
463;SAMSUNG ELECTRIC OVEN NV7B4420ZAW/WT;1,000;445,00;
464;SAMSUNG ELECTRIC OVEN NV7B4445UAS/WT;2,000;400,00;
465;Samsung ELECTRIC OVEN OV01DNV7B4125ZAS/WT;2,000;356,25;
466;Samsung Galaxy A36 5G 8+128 GB Awesome Black;2,000;137,26;
467;Samsung Galaxy A36 5G 8+256 GB AWESOME BLACK;5,000;234,14;
468;Samsung Galaxy Tab A11 4+64 GB Silver;1,000;127,67;
469;Samsung Galaxy Tab A11 Plus 6+128 GB Silver;1,000;220,53;
470;Samsung GALAXY Z FOLD 7 12+256 GB SILVER SHADOW;1,000;1 307,59;
471;SAMSUNG GALLAXY TAB S8 PLUS 5G 8+128 GB BLACK PROCHIY;1,000;650,00;
472;SAMSUNG GAS COOKTOP  NA64A3010AK;1,000;160,00;
473;SAMSUNG GAS COOKTOP NA64H3010BK/WT;1,000;170,00;
474;SAMSUNG GAS COOKTOP NA64H3030AK/WT;2,000;180,00;
475;SAMSUNG GAS COOKTOP NA64H3030AS/WT;2,000;195,00;
476;SAMSUNG KITCHEN HOOD NK24M3050PS/U1;3,000;119,00;
477;SAMSUNG MICROWAVE OVEN ME88SUB/BW;1,000;75,00;
478;SAMSUNG MICROWAVE OVEN ME88SUG/BW;1,000;85,00;
479;SAMSUNG MICROWAVE OVEN MG22M8054AK/BW;2,000;190,00;
480;SAMSUNG MICROWAVE OVEN MG23T5018AN/BW;2,000;110,00;
481;SAMSUNG MICROWAVE OVEN MG30T5018AG/BW;2,000;111,00;
482;SAMSUNG MICROWAVE OVEN MS20A7013AB/BW;3,000;153,75;
483;SAMSUNG MICROWAVE OVEN MS23F301TAW/BW;1,000;90,00;
484;SAMSUNG MICROWAVE OVEN MS23F302TAK/BW;1,000;80,00;
485;SAMSUNG MICROWAVE OVEN MS23F302TAS/BW;2,000;80,00;
486;SAMSUNG MICROWAVE OVEN MS23T5018AG/BW;4,000;105,00;
487;SAMSUNG REFRIGERATOR BRB70F26D1S0WT;2,000;640,00;
488;SAMSUNG REFRIGERATOR BRB70F30A1S0WT;2,000;760,00;
489;SAMSUNG REFRIGERATOR RB29FERNDWW/RS;1,000;410,00;
490;SAMSUNG REFRIGERATOR RB31FERNDSA/WT;1,000;445,00;
491;SAMSUNG REFRIGERATOR RB31FERNDWW/WT;1,000;435,00;
492;SAMSUNG REFRIGERATOR RB33A32N0SA/WT;2,000;450,00;
493;SAMSUNG REFRIGERATOR RB53DG703EB1WT;1,000;692,50;
494;SAMSUNG REFRIGERATOR RB53DG703ES9WT;1,000;710,00;
495;SAMSUNG REFRIGERATOR RF48A4000B4/WT;1,000;870,00;
496;SAMSUNG REFRIGERATOR RS80F65J1FWT;2,000;1 150,00;
497;SAMSUNG REFRIGERATOR RT53K6510EF/WT;1,000;650,00;
498;SAMSUNG TV LED QA75Q8FA;2,000;1 230,00;
499;SAMSUNG TV LED QA98Q7F;1,000;3 700,00;
500;SAMSUNG TV LED QE65LS03BAUXCE;1,000;970,00;
501;SAMSUNG TV LED QE85QN800DUXCE;2,000;3 462,50;
502;SAMSUNG TV LED QE85QN85DBUXCE;1,000;3 670,48;
503;SAMSUNG TV LED UA43F6000FU ;2,000;205,00;
504;SAMSUNG TV LED UA50U8000F;2,000;320,00;
505;SAMSUNG TV LED UA55U8000F;2,000;390,00;
506;SAMSUNG TV LED UA65U8000F;1,000;550,00;
507;SAMSUNG TV LED UE55DU8000UXCE;1,000;400,00;
508;SAMSUNG TV LED UE65DU7100UXCE;2,000;482,10;
509;Samsung TV QA75Q70DAUXCE;2,000;1 100,00;
510;Samsung TV UA65DU7000;1,000;450,00;
511;Samsung TV UA98DU9000DAUXE;1,000;1 950,00;
512;Samsung TV UE85DU7100DAUXE;2,000;1 000,00;
513;SAMSUNG VACUUM CLEANER VC15K4116VR/EV;3,000;87,00;
514;SAMSUNG VACUUM CLEANER VC15K4136HB/EV;5,000;100,00;
515;SAMSUNG VACUUM CLEANER VC15K4136VL/EV;3,000;91,67;
516;SAMSUNG VACUUM CLEANER VC18M21C0VR/EV;3,000;60,00;
517;SAMSUNG VACUUM CLEANER VC18M31A0HU/EV;1,000;70,00;
518;SAMSUNG VACUUM CLEANER VC20M2520JP;1,000;70,00;
519;SAMSUNG VACUUM CLEANER VC20M2560JP/EV;1,000;72,00;
520;SAMSUNG VACUUM CLEANER VC20M257AWR/EV;5,000;65,00;
521;SAMSUNG VACUUM CLEANER VC21K5150HP/EV;4,000;113,17;
522;SAMSUNG VACUUM CLEANER VCC4520S36/XEV;1,000;55,00;
523;SAMSUNG VACUUM CLEANER VCC4520S3R/XEV;4,000;50,83;
524;SAMSUNG VACUUM CLEANER VCC4581;1,000;55,00;
525;SAMSUNG VACUUM CLEANER VCC5241S3K/XEV;4,000;48,50;
526;SAMSUNG VACUUM CLEANER VCC5252V33/XEV;5,000;51,12;
527;SAMSUNG VACUUM CLEANER VCC8835V37/XEV;2,000;85,45;
528;SAMSUNG VACUUM CLEANER VR7MD97714G/EV;1,000;730,00;
529;SAMSUNG VACUUM CLEANER VS20B75ADR5/EV;1,000;265,00;
530;SAMSUNG VACUUM CLEANER VS80F28DLP/EV;2,000;465,00;
531;SAMSUNG WASHING MACHINE AWD10T654CBH/LD;2,000;540,00;
532;SAMSUNG WASHING MACHINE WD10T654CBH/LD;1,000;560,00;
533;SAMSUNG WASHING MACHINE WD80T554CBT/LD;1,000;450,00;
534;SAMSUNG WASHING MACHINE WD80T554CBX/LD;3,000;480,00;
535;SAMSUNG WASHING MACHINE WD90A7M48PH/LD;1,000;650,00;
536;SAMSUNG WASHING MACHINE WW60AG4S00CELD;2,000;245,00;
537;SAMSUNG WASHING MACHINE WW65AG4S21CELD;4,000;264,00;
538;SAMSUNG WASHING MACHINE WW65AG4S21CXLD;2,000;285,00;
539;SAMSUNG WASHING MACHINE WW65AG4S21CXLD;1,000;275,00;
540;SAMSUNG WASHING MACHINE WW70AG5S21CXLD;2,000;289,59;
541;SAMSUNG WASHING MACHINE WW70AG5S21CXLD;2,000;300,00;
542;SAMSUNG WASHING MACHINE WW80AG6S24ANLD;1,000;345,00;
543;SAMSUNG WASHING MACHINE WW80AG6S24AWLD;1,000;340,00;
544;SAMSUNG WASHING MACHINE WW80AGAS22AELD;2,000;311,25;
545;SAMSUNG WASHING MACHINE WW90DG6U94LBLD;1,000;422,22;
546;SAMSUNG WASHING MACHINE WW90DG6U94LKLD;3,000;343,33;
547;Samsung Watch Ultra 47mm Titanium Gray;1,000;274,09;
548;SARAY 6040 3000W OBOGREWATEL;1,000;32,00;
549;SCILTECH 64T KRONSHTEYN;1,000;7,50;
550;SCILTECH SH05D KRONSHTEYN;1,000;3,50;
551;SCILTECH SH32P KRONSHTEYN;1,000;7,00;
552;SENSSUN EK-518 TEREZI;1,000;20,00;
553;SHAMDAN 3004 OBOGREWATEL;1,000;32,00;
554;SIMBO SSI-890 UTUG;1,000;15,00;
555;SIMFER FS7300A MOROZILNIK;1,000;410,00;
556;SIMFER S3150WT OBOGREWATEL;1,000;73,00;
557;SKYWORTH D1321BE2C WSTROYNAYA POSUDOMOYKA;1,000;200,00;
558;SKYWORTH TV 50G66G;2,000;225,00;
559;SKYWORTH TV 50Q67H;2,000;270,00;
560;SKYWORTH TV 50QLED SUE9500/300;3,000;260,00;
561;SKYWORTH TV 55G66G;1,000;275,00;
562;SKYWORTH TV 55Q67G;2,000;320,00;
563;SKYWORTH TV 55Q67H;2,000;300,00;
564;SKYWORTH TV 55Q75G;2,000;350,00;
565;SKYWORTH TV 65G66H;2,000;400,00;
566;SKYWORTH TV 65Q67H;2,000;435,00;
567;SKYWORTH TV 75Q67H;2,000;650,00;
568;SKYWORTH TV 75Q75G;2,000;700,00;
569;SOKANY SK-03043 BLENDER;1,000;18,90;
570;SOKANY SK-06011 IZMELCHITEL;1,000;12,90;
571;SOKANY SK-07055  7LT MULTIWARKA;1,000;36,00;
572;SOKANY SK-1027 ELEKTRIK CHAYNIK;1,000;11,50;
573;SOKANY SK-1029 ELEKTRIK CHAYNIK;1,000;6,20;
574;Sokany SK-1032 ELEKTRIK CHAYNIK;1,000;10,90;
575;SOKANY SK-1068 SAMOWAR;1,000;30,00;
576;SOKANY SK-15019 SACH UTUG;2,000;14,50;
577;SOKANY SK-17006 3.IN1 EPILYATOR ;1,000;10,00;
578;SOKANY SK-1729 BLENDER;1,000;13,00;
579;SOKANY SK-1737 500ML 100W BLENDER ;2,000;15,00;
580;SOKANY SK-327 WAFELNITSA;1,000;9,20;
581;SOKANY SK-999 BLENDER;1,000;19,60;
582;SOKANY SK-SH-1076 ELEKTRIK CHAYNIK;2,000;6,50;
583;SOKANY SOK-311 EPILYATOR;1,000;9,00;
584;SOKANY YS-8103C Fen;1,000;10,00;
585;SOLTAN 1312 gaz plita;1,000;30,00;
586;SONIFER SF-1141 NABOR POSUDY;1,000;27,00;
587;SONIFER SF-3055 ELEKTRIK BLINISSA;1,000;6,00;
588;SONIFER SF-3527 KOFEMOLKA ;2,000;12,80;
589;SONIFER SF-3581 KOFEWARKA;1,000;47,50;
590;SONIFER SF-3587 KOFEWARKA;1,000;94,00;
591;SONIFER SF-5018 1500W MYASORUBKA ;1,000;33,90;
592;SONIFER SF-5527 1,0L 800W SOKOWYJYMALKA ;1,000;38,40;
593;SONIFER SF-5543 2.0L 1000W SOKOWYJYMALKA;1,000;41,00;
594;SONIFER SF-5547 SOKOWYJYMALKA;1,000;44,00;
595;SONIFER SF-6081 WAFELNISA;1,000;12,00;
596;SONIFER SF-6202 1400W PROIZWODITEL;1,000;13,20;
597;Sonifer SF-6517 OBOGREWATEL;1,000;42,50;
598;SONIFER SF-6525 1,6L 130W GENERATOR ;1,000;69,00;
599;SONIFER SF-6529 1,3L 100W LDO GENERATOR;1,000;56,00;
600;SONIFER SF-6535 2000W OBOGREWATEL;1,000;28,00;
601;SONIFER SF-6536 2000W OBOGREWATEL;1,000;42,00;
602;SONIFER SF-8030 500W RUCHNOY BLENDER ;1,000;9,90;
603;SONIFER SF-8064 5,5L 1400W MIXER ;1,000;60,20;
604;SONIFER SF-8070 BLENDER;2,000;14,00;
605;Sonifer SF-8082 12LT MIXER;1,000;103,60;
606;SONIFER SF-8114 BLENDER;1,000;38,40;
607;SONIFER SF-8122 4LT IZMECITEL;2,000;13,80;
608;SONIFER SF-8159 4 IN1 2LT 1200W BLENDER ;1,000;26,30;
609;SONIFER SF-8178 BLENDER;2,000;9,70;
610;Sonifer SF-8181 BLENDER;1,000;9,50;
611;Sonifer SF-8183 3 IN 1 BLENDER;1,000;26,50;
612;SONIFER SF-9016 UTUG;1,000;13,50;
613;SONIFER SF-9092 UTUG;2,000;18,60;
614;SONIFER SF-9108 UTUG;2,000;12,80;
615;SS01DS70TR.ARUSLLK;1,000;260,00;
616;SS02DS80TR.DRUSLLK;1,000;370,00;
617;SS02DXL5S.DRUSLLK;1,000;230,00;
618;SUPER MAX TVQE85Q80DAU;1,000;650,00;
619;SUPERMAX BD-310P MOROZILKA;1,000;180,00;
620;SUPERMAX BD-360F MOROZILKA;1,000;190,00;
621;SUPERMAX BD-360G MOROZILKA;1,000;190,00;
622;SUPERMAX BD-410G MOROZILKA;1,000;250,00;
623;SUPERMAX F-1060SL22 STIRALNAYA MASHINA 6 kg;1,000;145,00;
624;SUPERMAX FV3001RG PAROWOY UTUG;1,000;17,00;
625;SUPERMAX FV3002GR PAROWOY UTUG;2,000;17,00;
626;SUPERMAX FV3005PL PAROWOY UTUG;1,000;17,00;
627;SUPERMAX MG-750BK MYASORUBKA;2,000;60,00;
628;SUPERMAX MG-750BW MYASORUBKA;2,000;60,00;
629;SUPERMAX MS2075GDW MIKROWOLNOWKA;1,000;35,00;
630;SUPERMAX NF-402NX HOLODILNIK;1,000;240,00;
631;SUPERMAX NF-492W HOLODILNIK;1,000;300,00;
632;SUPERMAX PRO R100V BOYLER;1,000;110,00;
633;SUPERMAX TV QE65Q80DAU;1,000;335,00;
634;TCL TAC-18ONF/RIF KONDISIONER;2,000;306,67;
635;Tecno Camon 30 8/256 Black (1year);1,000;178,00;
636;Tecno Camon 30 8/256 White (1year);1,000;178,00;
637;Tecno Camon 50 pro 8/256 Black (1year);4,000;283,00;
638;Tecno Camon 50 Pro 8/256 Black Prochyy;1,000;280,00;
639;Tecno Camon 50 Pro 8/256 Titanium Prochyy;1,000;280,00;
640;Tefal 04090128 Stekl kryshka /Glass cap 28;1,000;8,00;
641;TEFAL BL985A31 BLENDER ;5,000;135,00;
642;TEFAL CM290838 COFFEE MACHINE ;2,000;37,78;
643;TEFAL CMMF2100097755 IDEAL PAN 32X24 CM ;1,000;54,44;
644;TEFAL FF162131 FRYER ;3,000;60,33;
645;TEFAL FF175D71 FRYER ;1,000;57,00;
646;TEFAL FF203130 FRITYURNISA;10,000;44,00;
647;TEFAL FF215D30 FRYER ;1,000;65,00;
648;TEFAL FR314030 FRYER ;9,000;73,33;
649;TEFAL FR480015-TA FRITYURNISA;1,000;100,00;
650;TEFAL FR495070 FRYER ;2,000;96,00;
651;TEFAL FV9845M0 UTUG;1,000;78,00;
652;TEFAL FV9848 UTUG PROCHIY;2,000;85,00;
653;TEFAL FZ720015 MULTIPECH;4,000;150,00;
654;Tefal GC712834 GRILL;1,000;127,50;
655;Tefal GC712D28 GRILL;1,000;85,00;
656;TEFAL GC715D28 OptiGrill plus ;1,000;240,00;
657;TEFAL GC724D12 ELECTROGRILL;1,000;191,33;
658;TEFAL GV9221E0 UTUG PAROGENERATOR PROCHIY;2,000;190,00;
659;TEFAL GV9230E0 UTUG PAROGENERATOR PROCHIY;2,000;190,00;
660;TEFAL GV9550E0 UTUG PAROGENERATOR PROCHIY;1,000;193,34;
661;TEFAL GV9712E0 PARAGENERATOR;1,000;180,00;
662;TEFAL GV9720E0 PARAGENERATOR;2,000;235,00;
663;TEFAL GV9810E0 UTUG PAROGENERATOR PROCHIY;1,000;250,00;
664;TEFAL J4092413 Silikonovaya forma /Silicone mold;3,000;10,00;
665;TEFAL K1220205 20cm KUHONNYY NOJ PROCHIY;1,000;10,00;
666;TEFAL K1221205 20SM NOJ;1,000;10,00;
667;TEFAL K2320414 20cm NOJ DLYA HLEBA PROCHIY;3,000;15,00;
668;TEFAL PF610138 HLEBOPECHKA;1,000;145,00;
669;TEFAL RK901832FD MULTIWARKA;1,000;100,00;
670;TEFAL гладильная система QT1511E0;1,000;200,00;
671;TEFAL Отпариватель IT3470E1;2,000;85,00;
672;TEFAL Отпариватель IT8470M0;2,000;125,00;
673;TEFAL Отпариватель IT8480E1;1,000;125,00;
674;TEFAL отпариватель IT8490M0;2,000;125,00;
675;TEFAL утюг FV2839E0;2,000;34,00;
676;TEFAL Утюг FV5820G0;2,000;45,00;
677;TEFAL утюг FV6832M0;2,000;67,00;
678;TEFAL утюг FV8062E0;1,000;75,00;
679;TEFALотпариватель IT2461E0;2,000;73,00;
680;TEMIOV TM-376A PYCHAK NABOR;1,000;7,20;
681;TENDA D301 ROUTER;3,000;8,00;
682;ToaTronics Ultrasonic Cool Mist Humidifier  Cool, LED Power Display 4 liter;1,000;95,00;
683;TV01D16DLED65Z1;4,000;368,00;
684;TV02DLED86UT81006LA;1,000;1 200,00;
685;TV16DQLED65Z1;2,000;386,67;
686;UAKEEN  ZL-807 UTUG;1,000;14,80;
687;UAKEEN VK-119 CAYNIK;2,000;16,50;
688;UAKEEN VK-120 7PCS PYCHAK NABOR;1,000;25,10;
689;UAKEEN VK-1220 skoworoda;1,000;12,00;
690;UAKEEN VK-14 NABOR SKOWORODOK 20SM 24SM 28SM 3 prs;1,000;14,60;
691;UAKEEN VK-1408 10 PCS NABOR POSUDY;1,000;71,00;
692;UAKEEN VK-301 2.6LT 20SM KASTRYUL;2,000;12,10;
693;UAKEEN VK-302 4.5LT 24SM KASTRYUL;1,000;14,80;
694;UAKEEN VK-303 7LT 28SM KASTRYUL;1,000;17,90;
695;UAKEEN VK-304 9.9LT 32SM KASTRYUL;2,000;21,90;
696;UAKEEN VK-305 2LT 24SM SKOWORODKA;2,000;13,60;
697;UAKEEN VK-306 2.2LT 28SM SKOWORODKA;2,000;15,50;
698;UAKEEN VK-35 7PCS NABOR POSUDY;1,000;64,00;
699;UAKEEN VK-38 MULTIWARKA;1,000;28,00;
700;UAKEEN VK-48 NABOR POSUDY 10 prs;1,000;44,00;
701;UAKEEN VK-624 3.8LT 24SM GAZAN;1,000;17,80;
702;UAKEEN VK-628 6.2LT 28SM GAZAN;1,000;25,80;
703;UAKEEN VK-91 24SM SKOWORODKA;1,000;4,50;
704;UAKEEN VK-92 26SM SKOWORODKA;2,000;4,90;
705;UAKEEN VK-94 SKOWORODA;1,000;6,00;
706;Uakeen VK-JG2528 28sm 2,4litr SKOWORODA;1,000;16,60;
707;Uakeen VK-JP2520 20sm 1,0litr SKOWORODA;1,000;11,00;
708;Uakeen VK-JP2522 22sm 1,3litr SKOWORODA;1,000;11,70;
709;Uakeen VK-JP2524 24sm 1,7litr SKOWORODA;1,000;12,30;
710;UAKEEN VK-N1816 1.5LT 16SM KASTRYULYA;1,000;10,10;
711;UAKEEN VK-N2518  2LT 18SM KASTRYULYA;1,000;12,80;
712;Uakeen VK-PZ1824 SKOWORODKA DLYA PIZZA;1,000;8,40;
713;Uakeen VK-PZ1828 SKOWORODKA DLYA PIZZA ;1,000;9,40;
714;UAKEEN VK-S2528 KASTRYULYA;1,000;19,60;
715;UAKEEN VK-T2520  2.6LT 20SM KASTRYULYA;1,000;14,70;
716;UAKEEN VK-T2524  4.5LT 24SM KASTRYULYA;1,000;17,50;
717;UAKEEN VK-T2526  5.5LT 26SM KASTRYULYA;1,000;18,50;
718;UAKEEN VK-T2528 7LT 28SM KASTRYULYA;1,000;19,60;
719;UAKEEN VK-T2530 9LT 30SM KASTRYULYA;1,000;21,60;
720;UAKEEN VK-T620 2.4LT 20SM GAZAN;1,000;13,50;
721;UAKEEN VK-W2530 4.5LT 30SM KASTRYULYA;1,000;17,80;
722;UAKEEN ZL-006 2,2L 2200W ELEKTRIK CHAYNIK;1,000;13,40;
723;UAKEEN ZL-031 2.0L 2200W ELEKTRIK CHAYNIK;1,000;15,80;
724;UAKEEN ZL-041 ELEKTRIK CHAYNIK;2,000;17,50;
725;UAKEEN ZL-042 ELEKTRIK CHAYNIK;2,000;17,50;
726;UAKEEN ZL-105 3.0L 1200W IZMELCHITEL ;1,000;8,00;
727;UAKEEN ZL-1104 PAR UTUG;2,000;24,80;
728;UAKEEN ZL-1311 BLENDER;1,000;32,00;
729;UAKEEN ZL-1312 BLENDER;1,000;33,90;
730;UAKEEN ZL-1504 COFFEMASHINE;1,000;300,00;
731;UAKEEN ZL-1703 AEROGRILL;1,000;38,00;
732;UAKEEN ZL-1706 AEROGRILL;1,000;38,00;
733;UAKEEN ZL-204 PAR UTUG;1,000;13,00;
734;UAKEEN ZL-206 PAR UTUG;1,000;11,50;
735;UAKEEN ZL-211 1500 W OTPARIWATEL;1,000;10,80;
736;UAKEEN ZL-213 1800 W OTPARIWATEL;1,000;14,20;
737;UAKEEN ZL-214 OTPARIWATEL;1,000;12,20;
738;UAKEEN ZL-217 2000 W RUCHNOY OTPARIWATEL DLYA ODEJDY ;2,000;14,20;
739;UAKEEN ZL-219 2000 W RUCHNOY OTPARIWATEL DLYA ODEJDY ;1,000;13,40;
740;UAKEEN ZL-224 PAR UTUG;1,000;13,40;
741;UAKEEN ZL-2508 SAMOWAR;1,000;29,00;
742;Uakeen ZL-308 PAR UTUG;1,000;44,00;
743;UAKEEN ZL-412 ELEKTRO GRILL ;1,000;18,50;
744;UAKEEN ZL-513 BLENDER;1,000;15,50;
745;UAKEEN ZL-608 3000W MYASORUBKA ;2,000;79,00;
746;UAKEEN ZL-610 MYASORUBKA;1,000;32,50;
747;UAKEEN ZL-611 MYASORUBKA;1,000;48,60;
748;UAKEEN ZL-612 MYASORUBKA;2,000;41,00;
749;UAKEEN ZL-614 MYASORUBKA;1,000;55,50;
750;UAKEEN ZL-706 SOKOWYJYMALKA;1,000;44,50;
751;UAKEEN ZL-801 UTUK ;1,000;12,80;
752;UAKEEN ZL-810 2400W PARAWOY UTUG ;1,000;14,80;
753;UAKEEN ZL-814 3000 W PAR UTUG ;1,000;16,00;
754;UAKEEN ZL-817 PAR UTUG;1,000;12,80;
755;UAKEEN ZL-820 2400 W ELEKTRICESKIY PARAWOY UTUG;2,000;9,50;
756;UAKEEN ZL-822 2600W UTUG;1,000;12,50;
757;UAKEEN ZL-823 2600W UTUG;1,000;12,80;
758;UAKEEN ZZ-24801 MIXER;1,000;112,50;
759;UAKEEN ZZ-24802 1200W BLENDER ;1,000;45,50;
760;UNEST U2655P Tv podstawka;1,000;8,00;
761;UNEST U3282P KRONSHTEYN;4,000;7,00;
762;UNIT WALL 460MM split podstawka ;7,000;10,00;
763;VACUUM CLEANER  VS15A6031R4/EV;1,000;175,00;
764;VACUUM CLEANER OLER 2800W PYLESOS;1,000;30,00;
765;VACUUM CLEANER Sonifer SF-2269 21litr PYLESOS;1,000;32,50;
766;VACUUM CLEANER SONIFER SF-2272 3LT PYLESOS;1,000;52,50;
767;VACUUM CLEANER UAKEEN ZL-900 PYLESOS;1,000;47,00;
768;VACUUM CLEANER UAKEEN ZL-902 PYLESOS ;1,000;47,50;
769;VACUUM CLEANER UAKEEN ZL-907 PYLESOS;2,000;43,00;
770;VACUUM CLEANER UAKEEN ZL-926 PYLESOS;2,000;117,00;
771;VACUUM CLEANER UAKEEN ZL-927 2.3LT PYLESOS;1,000;139,00;
772;VACUUM CLEANER UAKEEN ZZ-25007 PYLESOS;2,000;140,00;
773;VACUUM CLEANER UAKEEN ZZ-25013 PYLESOS;1,000;66,00;
